bbl,property_id,address,NAME,block,lot,Postal Code,latitude,longitude,ownername,bldgclass,yearbuilt,yearalter1,numfloors,unitstotal,Occupancy,Height Roof,Property GFA - Self-Reported (ft²),bldgarea,conditioned_office_sqft,Office - Gross Floor Area (ft²),officearea,Office - Weekly Operating Hours,Office - Number of Workers on Main Shift,ClosestIAQSensorSite,DistanceToClosestSensor_ft,DistanceToClosestSensor_miles,DOITT_ID,OBJECTID,the_geom,SHAPE_AREA,Feature Code,Length,Geometry Source
1008630067,25129,"178 Madison Ave, New York, NY 10016",Newmark- 180 Madison,863,67,10016,40.7476441,-73.9834418,180 MADISON PRISA II LLC,O4,1926,2015,24,1,100,284,280956,280956,280956,280956,280956,62.275,225,Queensboro Bridge,1643.7,0.31,231913,1083104,"MULTIPOLYGON (((-73.983698648058 40.747649110805, -73.983611759964 40.747766040947, -73.983542886036 40.747858727461, -73.98318106966 40.747703220776, -73.983191367411 40.747689361684, -73.983266790547 40.747587863073, -73.983368321285 40.747451227719, -73.983380839815 40.747434381049, -73.983438043908 40.747458966811, -73.983660189215 40.747554443216, -73.983648168204 40.74757062001, -73.983616180842 40.747613665077, -73.983698648058 40.747649110805)))",1993.804688,2100,183.2794905,Other (Manual)
1008680012,6310554,"9 E 38th St, New York, NY 10016",9 E 38th Street,868,12,10016,40.7507509,-73.9816436,9 EAST 38TH STREET REALTY LLC,O6,1924,1986,12,1,100,143,,59191,50312.35,,,62.275,225,Queensboro Bridge,1708.7,0.32,1272518,1061329,"MULTIPOLYGON (((-73.981482305353 40.750852676277, -73.98165570753 40.750613280167, -73.981805990185 40.750676234066, -73.981670449653 40.750863361153, -73.981633387364 40.750912434631, -73.981548339632 40.750880338712, -73.981482305353 40.750852676277)))",764.0078125,2100,117.8931079,Other (Manual)
1008710068,12622,"21 Irving Pl, New York, NY 10003",17229 - 120 East 16th Street - 33 Irving Place,871,68,10033,40.7351726,-73.9882476,120 E 16 ST COMPANY INC,O6,1909,2016,13,1,100,147.53,185633,185633,185633,185633,185633,62.275,225,Queensboro Bridge,5658.2,1.07,252763,404171,"MULTIPOLYGON (((-73.988239183118 40.734934439096, -73.988486201612 40.735036248479, -73.988482073746 40.735042045537, -73.988381995893 40.735182541757, -73.988446835011 40.735209264551, -73.988297963297 40.735418262837, -73.98803643437 40.735310473977, -73.987986104611 40.735289730039, -73.987992664765 40.735280519426, -73.988028612952 40.735230053295, -73.988239183118 40.734934439096)))",2143.347656,2100,197.6658335,Photogrammetric
1008760006,4409998,257 PARK AVENUE SOUTH,Feil - 257 Park Ave South,876,6,,,,"257 PARK AVENUE SOUTH FEE OWNER, LLC",O4,1913,1988,20,1,100,309.15,,207233,176148.05,,,62.275,225,Queensboro Bridge,,,226944,656693,"MULTIPOLYGON (((-73.987137019787 40.738388093086, -73.98735986632 40.738481262663, -73.987391743868 40.738494590067, -73.987328395619 40.738582252935, -73.987191902751 40.738771131915, -73.987188656802 40.738775623286, -73.986909415338 40.7386588762, -73.986911905764 40.738655430241, -73.98711250441 40.738377842569, -73.987137019787 40.738388093086)))",1671.234375,2100,165.1528117,Photogrammetric
1008820076,17504,"116 E 27th St, New York, NY 10016",116 East 27 Street,882,76,10016,40.7421657,-73.9838257,116 ASSOCIATES/440 REALTY COMPANY,O6,1915,0,12,1,100,151.43,70217,70217,70217,70217,70217,62.275,225,Queensboro Bridge,3298.5,0.62,394884,948918,"MULTIPOLYGON (((-73.983637822993 40.742242828505, -73.983760767707 40.742076130509, -73.983791530141 40.742034419747, -73.983997274821 40.742122200237, -73.983843569299 40.742330610167, -73.983637822993 40.742242828505)))",922.0039063,2100,122.7247134,Photogrammetric
1009930022,19453,"115 W 40th St, New York, NY 10018",114 West 41st Street,993,22,10018,40.7542263,-73.9857285,COLUMBIA PROPERTY TRUST,O4,1915,1986,22,1,100,331.2146508,304345,304345,304345,304345,304345,62.275,225,Queensboro Bridge,1331.3,0.25,266186,514936,"MULTIPOLYGON (((-73.985436509026 40.754439940655, -73.985552009609 40.754281541855, -73.985780388963 40.753968335691, -73.985919645084 40.754027054956, -73.986030272932 40.754073702007, -73.985903557589 40.754247484157, -73.9858413771 40.754221265516, -73.985740597472 40.754359477995, -73.985624214723 40.754519088952, -73.985590839131 40.754505016184, -73.985436509026 40.754439940655)))",2124.476563,2100,222.0191071,Photogrammetric
1009940045,4098176,"130 W 42nd St, New York, NY 10036",130 W 42 St,994,45,10036,40.7549619,-73.9856417,RYAN L.L.C,O4,1918,1985,29,1,100,422.94,,217855,185176.75,,,62.275,225,Queensboro Bridge,1318.9,0.25,198617,1051897,"MULTIPOLYGON (((-73.985826864 40.754977324597, -73.985770465643 40.755054729601, -73.985641873746 40.755000550043, -73.985616329033 40.755035609839, -73.98559859164 40.75505995369, -73.985457348276 40.755253804875, -73.985302715797 40.755188652592, -73.985643640462 40.754720745186, -73.985956290704 40.75485247455, -73.985928079824 40.754891192845, -73.985856290948 40.754989722771, -73.985826864 40.754977324597)))",2223.519531,2100,236.729795,Photogrammetric
1009990019,8604,"114 W 47th St, New York, NY 10036",114,999,19,10036,40.75814,-73.9830385,THE DURST ORGANIZATION,O4,1987,2016,25,1,100,370.67,,646995,549945.75,,,62.275,225,Queensboro Bridge,2322.1,0.44,812547,512154,"MULTIPOLYGON (((-73.982790282565 40.758034963143, -73.982894563259 40.758078917919, -73.983067847293 40.757841202958, -73.983374318852 40.757970377324, -73.983456235288 40.758004903676, -73.983412557167 40.758064823309, -73.983364361875 40.75813093955, -73.983338750439 40.758120144196, -73.983241808668 40.758253132038, -73.983233711511 40.758264240391, -73.983181260648 40.758242132551, -73.983127097845 40.75831643341, -73.983081252467 40.758379325166, -73.983026955573 40.75845380966, -73.982612347182 40.758279055256, -73.982790282565 40.758034963143)))",4114.03125,2100,287.2943891,Photogrammetric
1010090046,5749,"130 W 57th St, New York, NY 10019",Rudd: 130 W 57th St.,1009,46,10019,40.7646443,-73.9786905,130 WEST 57 COMPANY,O6,1908,1987,15,1,100,151.83,73444,73444,69771.80151,69771.80151,69771.80151,62.275,225,Queensboro Bridge,4272.7,0.81,222460,782757,"MULTIPOLYGON (((-73.978484034317 40.764713567237, -73.978516986031 40.76466868505, -73.978559798311 40.764610368265, -73.97863407275 40.764641890705, -73.978647566196 40.764623511213, -73.978640399016 40.764610564236, -73.978619484797 40.764601687688, -73.978662172532 40.764543541036, -73.978688809992 40.764554846394, -73.978831151334 40.764615257747, -73.978788462516 40.764673404461, -73.97876460906 40.7646632802, -73.978751588803 40.764668633099, -73.978738640422 40.764686270688, -73.978812732662 40.764717716436, -73.978736968938 40.764820914673, -73.978626015814 40.764773825689, -73.978484034317 40.764713567237)))",830.8164063,2100,142.5196469,Photogrammetric
1010130029,19044,"592 7 Ave, New York, NY 10036",5 Times Square,1013,29,10036,40.7558569,-73.9875726,NYC ECONOMIC DEVELOPMENT CORP,O4,2002,0,39,1,100,540.58,1102336,1102336,1102336,1102336,1102336,62.275,225,Queensboro Bridge,834.2,0.16,989520,87054,"MULTIPOLYGON (((-73.987691901044 40.756139536728, -73.987671203771 40.75613084734, -73.987617134406 40.756108147006, -73.98758769322 40.756148695395, -73.987420307124 40.756078420714, -73.987439473854 40.756052022689, -73.987220637506 40.755989049697, -73.98730025282 40.755879395855, -73.987556983268 40.755525800794, -73.987557652515 40.755524878749, -73.987560644762 40.755526135277, -73.987932382923 40.755682207187, -73.987796598384 40.755869224256, -73.98776315377 40.755915288764, -73.987790602836 40.755926812741, -73.987808912876 40.755934499593, -73.987853435787 40.755953192483, -73.987712009813 40.756147979311, -73.987691901044 40.756139536728)))",4051.957031,2100,279.4603396,Photogrammetric
1010320048,3066957,"330 W 42nd St, New York, NY 10036",Resolution - 330 West 42nd Street,1032,48,10036,40.7575041,-73.9915825,DECO TOWERS ASSOCIATES LLC,O4,1931,2021,33,1,100,483.360882,,552775,469858.75,,,62.275,225,Queensboro Bridge,940,0.18,581244,545205,"MULTIPOLYGON (((-73.991214045763 40.757682448935, -73.991357174022 40.757484472893, -73.991384064591 40.757447276839, -73.991409986251 40.757411422459, -73.991335184444 40.75738015312, -73.991482279576 40.757176687732, -73.991654124056 40.757248523701, -73.991677806314 40.757258423767, -73.991699381937 40.757267442983, -73.99172896139 40.757279808145, -73.991771554923 40.757297613282, -73.991798676058 40.757308950775, -73.991815552909 40.757316005632, -73.991867497918 40.757337719589, -73.99188665669 40.757345728232, -73.991969342965 40.757380292712, -73.991733242703 40.757706875732, -73.991626310737 40.757854785886, -73.991214045763 40.757682448935)))",4491.539063,2100,282.8622508,Photogrammetric
1010990021,5943765,"609 W 51st St, New York, NY 10019",609 WEST 51 STREET,1099,21,10019,40.7671466,-73.9948051,PIANO DEVELOPMENT CORPORATION,O3,1924,1987,7,1,100,109.61,,121638,103392.3,,,62.275,225,Queensboro Bridge,4562.3,0.86,256651,909843,"MULTIPOLYGON (((-73.994850364564 40.767254041215, -73.994848394677 40.767256754345, -73.994556136847 40.767134078777, -73.994553965898 40.767133167364, -73.99470884559 40.766919878521, -73.994757115362 40.766853404626, -73.994948792142 40.766933861504, -73.995000447206 40.766955544288, -73.995212146387 40.767044405096, -73.995228946711 40.767051456738, -73.995221979334 40.767061052219, -73.995144254206 40.767168089167, -73.995140535968 40.767173210176, -73.995063908641 40.76727873697, -73.995061440402 40.767277701285, -73.994886504789 40.767204271074, -73.994880062096 40.767213142552, -73.994850364564 40.767254041215)))",2619.3125,2100,213.9595792,Photogrammetric
1011050036,6313791,"600 W 58th St, New York, NY 10019",Frank 57 West,1105,36,10019,40.7710275,-73.9916024,"FPC 57 NORTH, LLC",O6,2015,2015,10,1,100,114,,143128,121658.8,,,62.275,225,Queensboro Bridge,5822.3,1.1,1287897,62420,"MULTIPOLYGON (((-73.992085395819 40.771078342308, -73.991911729221 40.771316816857, -73.991124799896 40.77098433183, -73.991297175952 40.77074763235, -73.992085395819 40.771078342308)))",4000.578125,2100,280.3855649,Other (Manual)
1012590019,2712440,"23 W 43rd St, New York, NY 10036",APF - 28 West 44th Street,1259,19,10036,40.755008,-73.9816352,APF PROPERTIES,O4,1920,0,20,1,100,257.9,,287894,244709.9,,,62.275,225,Queensboro Bridge,2324.8,0.44,824144,746267,"MULTIPOLYGON (((-73.981418631634 40.755315084521, -73.981556196904 40.755125595247, -73.981586243581 40.755138208931, -73.981623107414 40.755087429909, -73.981593060752 40.755074816234, -73.981340035066 40.754968593323, -73.981391659711 40.754897482448, -73.981513370136 40.754729833314, -73.981958694252 40.754916783123, -73.981847587135 40.755069829996, -73.981809500676 40.755053840917, -73.981715851108 40.755182841516, -73.981705567202 40.755197007536, -73.981572845068 40.755379824116, -73.981418631634 40.755315084521)))",2958.125,2100,281.679098,Photogrammetric
1012600001,18816,"1140 Ave Of The Americas, New York, NY 10036",CBRE 1140 Avenue Of Americas,1260,1,10036,40.7561555,-73.9826961,"ARC NYC1140SIXTH, LLC",O4,1926,2007,20,1,100,259.92,260000,260000,260000,260000,260000,62.275,225,Queensboro Bridge,2167.2,0.41,405478,867055,"MULTIPOLYGON (((-73.982425970345 40.756161644734, -73.982552947311 40.755987009215, -73.982692967402 40.756045879261, -73.982852315567 40.756112876374, -73.982947677146 40.75615297022, -73.982877427211 40.756249586727, -73.982820700899 40.75632760527, -73.982757125989 40.756300875978, -73.982425970345 40.756161644734)))",1472.449219,2100,159.10999,Photogrammetric
