bbl,bin,address,latitude,longitude,cooling_towers,water_tanks,total_equipment,has_building_outline
1008210055,1015480.0,18 WEST 20 STREET,40.7400147,-73.9924869,0,1,1,True
1012680001,1081406.0,51 WEST 52 STREET,40.7612271,-73.9787457,1,0,1,True
1008410089,1016060.0,1054 AVENUE OF THE AMER,40.753282,-73.9848408,0,1,1,True
1010220035,1024811.0,1648 BROADWAY,40.7617658,-73.9832939,1,0,1,True
1008440042,1016095.0,91 5 AVENUE,40.7375746,-73.9920289,0,1,1,True
1000430002,1001018.0,40 WALL STREET,40.7070143,-74.0097348,1,0,1,True
1009980012,1022634.0,145 WEST 45 STREET,40.757679,-73.984302,0,1,1,True
1001530024,1001670.0,23 CHAMBERS STREET,40.7135938,-74.0042421,1,0,1,True
1012600042,1034228.0,2 WEST 45 STREET,40.7554661,-73.9802166,0,1,1,True
1004990007,1007605.0,104 GREENE STREET,40.7243671,-73.9994083,1,0,1,True
1014220005,1081218.0,205 EAST 67 STREET,40.7664021,-73.9619645,0,1,1,True
1008600049,1016969.0,36 EAST 31 STREET,40.7452892,-73.9835687,0,1,1,True
1008860001,1018296.0,443 PARK AVENUE SOUTH,40.7445946,-73.9827785,0,1,1,True
1008110062,1015233.0,152 WEST 36 STREET,40.7518004,-73.9891289,0,1,1,True
1006010052,1010394.0,110 LEROY STREET,40.7300732,-74.0076383,0,1,1,True
1008440001,1016080.0,85 5 AVENUE,40.7373001,-73.9921588,0,1,1,True
1008230024,1015530.0,19 WEST 21 STREET,40.7410302,-73.991765,0,1,1,True
1008220062,1015508.0,38 WEST 21 STREET,40.7409287,-73.99266,0,1,1,True
1008220052,1015504.0,18 WEST 21 STREET,40.7406075,-73.9918986,0,1,1,True
1008490016,1016201.0,902 BROADWAY,40.7393227,-73.9893583,1,0,1,True
1006460019,1089295.0,860 WASHINGTON STREET,40.7412827,-74.0076865,1,0,1,True
1008550037,1016749.0,35 MADISON AVENUE,40.7423828,-73.9862687,0,1,1,True
1013290001,1085955.0,919 3 AVENUE,40.7589628,-73.967589,1,0,1,True
1012840056,1035445.0,424 MADISON AVENUE,40.7571864,-73.9763863,0,1,1,True
1013030033,1036228.0,776 3 AVENUE,40.7550115,-73.9717851,1,0,1,True
1008590048,1016935.0,434 PARK AVENUE SOUTH,40.7445179,-73.9836266,1,0,1,True
1002120018,1002735.0,52 VARICK STREET,40.7215453,-74.0060644,1,0,1,True
1012960001,1036151.0,125 PARK AVENUE,40.751601,-73.9775144,1,0,1,True
1007780034,1014261.0,207 WEST 28 STREET,40.7477687,-73.9936842,0,1,1,True
1012630038,1034485.0,590 5 AVENUE,40.7571703,-73.9786098,0,1,1,True
1004980009,1088114.0,557 BROADWAY,40.7240926,-73.9985028,1,0,1,True
1008730067,1017860.0,215 PARK AVENUE SOUTH,40.7368084,-73.9882726,0,1,1,True
1008760001,1017946.0,251 PARK AVENUE SOUTH,40.7383454,-73.9873269,0,1,1,True
1002330026,1003051.0,148 LAFAYETTE STREET,40.7194951,-73.9999351,1,0,1,True
1006020036,1010398.0,611 WASHINGTON STREET,40.7309322,-74.0084863,0,1,1,True
1008240015,1080667.0,37 WEST 22 STREET,40.7420348,-73.9919525,1,0,1,True
1008570076,1016896.0,243 5 AVENUE,40.7443646,-73.9870767,1,0,1,True
1007630049,1013691.0,314 WEST 40 STREET,40.7562581,-73.9920519,1,0,1,True
1012810059,1035395.0,18 EAST 46 STREET,40.7553395,-73.9779679,1,0,1,True
1012750023,1035318.0,285 MADISON AVENUE,40.7515905,-73.9797016,1,0,1,True
1012790057,1035377.0,352 MADISON AVENUE,40.7546973,-73.9784085,1,0,1,True
1008410018,1016040.0,35 WEST 39 STREET,40.7526067,-73.9841371,0,1,1,True
1008110016,1015225.0,131 WEST 35 STREET,40.7512678,-73.9886201,0,1,1,True
1012750012,1035315.0,15 EAST 40 STREET,40.7519118,-73.9805858,0,1,1,True
